"band","name","dob","hair_color","hair_frosted","hair_length","hair_style","eyes","facial_hair","accessories","top_style","bottom_style","height","skin","instrument","shirt_color","jacket_color","bottom_color"
"SILK","Gary ""Lil G"" Jenkins",NA,"black","no","short","high-top","brown",NA,"earring(s), necklace, rings","long-sleeve t-shirt","Dress pants",NA,"dark",NA,"patterned",NA,"black"
"SILK","James ""Jimmy"" Gates, Jr.",NA,"black","no",NA,NA,"brown","goatee","earring(s), necklace, rings","suit jacket, long-sleeve button down","Dress pants",NA,"dark",NA,"red",NA,"black"
"SILK","Johnathen Rasboro",NA,"black","no","short","high-top","brown",NA,"earring(s)","long-sleeve t-shirt","Dress pants",NA,"dark",NA,"patterned",NA,"black"
"SILK","Timothy Cameron",NA,"black","no","short","high-top","brown",NA,"earring(s)","long-sleeve t-shirt","Dress pants",NA,"dark",NA,"patterned",NA,"black"
"soulDecision","Trevor Guthrie","2/11/1973","blonde","yes","short","spiked","blue",NA,NA,"long-sleeve t-shirt","Jeans",73,"light","guitar","black",NA,"black"
"soulDecision","Dave Bowman","6/16/1972","brown","no","short","bangs","brown","goatee","earring(s)","suit jacket, short-sleeve t-shirt","Sweat pants",69,"light",NA,"black",NA,"black"
"soulDecision","Ken Lewko","8/4/1971","blonde","yes","short","spiked","green",NA,"glasses","suit jacket, long-sleeve button down","Dress pants",69,"light","keyboard","black",NA,"black"
"New Kids On The Block","Jonathan Knight","11/29/1968","brown","no","short","feathered","hazel",NA,NA,"other jacket, short-sleeve t-shirt","Jeans",71,"light",NA,"black","black","black"
"New Kids On The Block","Jordan Knight","5/17/1970","brown","no","medium","feathered, rat tail","brown",NA,NA,"leather jacket","Jeans",71,"light",NA,"black","black","black"
"New Kids On The Block","Danny Wood","5/14/1969","black","no","short","high-top, rat tail","brown",NA,NA,"vest, short-sleeve t-shirt","cargo pants",68,"light",NA,"white","black","black"
"New Kids On The Block","Donnie Wahlberg","8/17/1969","blonde","no","short","feathered, rat tail","brown",NA,"necklace","letterman jacket","Jeans",70,"light",NA,"black","black","black"
"New Kids On The Block","Joey McIntyre","12/31/1972","brown","no","short","curly","blue",NA,NA,"other jacket, short-sleeve t-shirt","Jeans",70,"light",NA,"black",NA,"black"
"Soul for Real","Jason ""Jase4Real"" Oliver Dalyrimple","5/10/1980","black","no","short","curly","brown",NA,NA,"suit jacket, long-sleeve button down","Dress pants",70,"medium-dark",NA,"black",NA,"black"
"112","Marvin Scandrick (Slim)","1/21/1981","black","no","short","fade","brown","mustache","glasses, headband, arm sweatband","short-sleeve t-shirt","Jeans",NA,"medium-dark",NA,"white",NA,"black"
"Soul for Real","Andre Dalyrimple","4/4/1974","black","no","short","fade","brown","mustache",NA,"suit jacket, long-sleeve button down","Dress pants",NA,"medium-dark",NA,"black",NA,"black"
"Soul for Real","Brian Dalyrimple","12/14/1975","black","no","short","fade","brown",NA,NA,"suit jacket, long-sleeve button down","Dress pants",NA,"medium-dark",NA,"black",NA,"black"
"Soul for Real","Christopher Dalyrimple","4/30/1973","black","no","short","fade","brown",NA,"glasses, Beret","suit jacket, long-sleeve button down","Dress pants",NA,"medium-dark",NA,"black",NA,"black"
"112","Daron Jones","12/27/1976","black","no","short","curly","brown","mustache","glasses, earring(s), necklace, bandana","long-sleeve t-shirt","Jeans",75,"dark",NA,"white",NA,"black"
"112","Micheal Marcel Keith (Mike)","12/18/1978","black","no","short","fade","brown","mustache","earring(s), necklace, rings, headband, bandana","long-sleeve t-shirt","Jeans",68,"medium-dark",NA,"white",NA,"black"
"112","Quinnes Parker (Q)","3/24/1977","black","no","short","fade","brown","mustache","glasses, earring(s), arm sweatband","short-sleeve t-shirt","Jeans",NA,"dark",NA,"white",NA,"black"
"Az Yet","Marc Nelson","1/23/1971","black","no","short","fade","brown","goatee","glasses, earring(s), necklace","vest","Jeans",NA,"dark",NA,"white",NA,"black"
"Az Yet","Kenny Terry",NA,"black","no","short","cornrows","brown","goatee",NA,"suit jacket, long-sleeve turtleneck","dress pants",NA,"dark",NA,"white","white","white"
"Az Yet","Shawn Rivera","11/4/1971","black","no","short","fade","brown","beard",NA,"long-sleeve button down","dress pants",NA,"medium-light",NA,"white",NA,"white"
"Az Yet","Darryl Anthony",NA,"brown","no","medium","fade","brown","beard","earring(s), necklace","leather jacket, t-shirt","sweat pants",NA,"medium-dark",NA,"white","white","black"
"Az Yet","Dion Allen","10/2/1970","black","no","short","fade","brown","goatee","earring(s)","other jacket, short-sleeve t-shirt","dress pants",NA,"medium-dark",NA,"white","white","white"
"BTS","RM","9/12/1994","red","no","medium","shaggy","brown",NA,NA,"other jacket, short-sleeve t-shirt","Dress pants",71,"light",NA,"blue",NA,"black"
"BTS","Jin","12/4/1992","black","no","medium","shaggy","brown",NA,NA,"other jacket, short-sleeve t-shirt","Sweat pants",70,"light",NA,"patterned",NA,"black"
"BTS","Suga","3/9/1993","Blue","no","medium","shaggy","brown",NA,"earring(s)","long-sleeve button down","Jeans",68,"light",NA,"white",NA,"black"
"BTS","J-Hope","2/18/1994","red","no","medium","shaggy","brown",NA,NA,"long-sleeve t-shirt","Jeans",70,"light",NA,"patterned",NA,"black"
"BTS","V","12/30/1995","Silver/blue","no","medium","shaggy","brown",NA,"earring(s)","long-sleeve button down","Jeans",70,"light",NA,"white",NA,"black"
"BTS","Jungkook","9/1/1997","brown","no","medium","shaggy",NA,NA,"earring(s)","other jacket, short-sleeve t-shirt","Dress pants",70,"light",NA,"blue",NA,"black"
"Playa","Jawaan ""Smoke"" Peacock","2/15/1977","black","no","medium","crew","brown","mustache","earring(s)","suit jacket, long-sleeve button down","Dress pants",NA,"medium-dark",NA,"black",NA,"black"
"Playa","Stephen Ellis Garrett (Static Major)","11/11/1974","black","no","short","crew","brown","beard, mustache","glasses, earring(s), necklace","suit jacket, long-sleeve button down","Dress pants",NA,"medium-dark",NA,"black",NA,"black"
"Playa","Benjamin ""Black"" Bush",NA,"black","no","short","crew","brown","beard, mustache","Maroon or Black Tophat","suit jacket, long-sleeve button down","Dress pants",NA,"medium-dark",NA,"black",NA,"black"
"2gether","Evan Farmer","7/28/1972","brown","no","short","spiked","green",NA,NA,"polo shirt","Dress pants",70,"light",NA,"purple",NA,"black"
"2gether","Michael Cuccione","1/5/1985","brown","no","short","slick","hazel",NA,NA,"short-sleeve button down","Dress pants",69,"light",NA,"gray",NA,"black"
"2gether","Noah Bastian","8/26/1979","brown","yes","short","spiked","green",NA,"earring(s)","other jacket, short-sleeve t-shirt","Jeans",69,"light",NA,"red t-shirt, gray jacket",NA,"black"
"2gether","Kevin Farley","6/8/1965","brown","no","medium","shaggy","blue",NA,"backwards baseball hat","short-sleeve button down","Dress pants",70,"light",NA,"black",NA,"black"
"2gether","Alex Solowitz","12/15/1979","blonde","no","short","spiked",NA,NA,NA,"short-sleeve button down","dress pants",NA,"light",NA,"black",NA,"red"
"Blackstreet","Chauncey ""Black"" Hannibal","11/24/1968","bald","no",NA,NA,"brown","mustache","earring(s), necklace","short-sleeve t-shirt","white overalls",NA,"dark",NA,"black",NA,"white"
"Blackstreet","Teddy Riley","10/8/1967","black","no","short","fade","brown","mustache, goatee","necklace","short-sleeve t-shirt","white overalls",NA,"medium-dark",NA,"black",NA,"white"
"Blackstreet","Eric Williams","1/6/1960","black","no","short","fade","brown","mustache, goatee","necklace","short-sleeve t-shirt","white overalls",NA,"medium-dark",NA,"black",NA,"white"
"Blackstreet","Mark Middleton",NA,"black","no","short","fade","brown","mustache","necklace","short-sleeve t-shirt","white overalls",NA,"medium-dark",NA,"black",NA,"white"
"Hi-Five","Roderick ""Pooh"" Clark",NA,"black","no","short","fade","brown",NA,"earring(s)","windbreaker, long-sleeve turtleneck","Sweat pants",NA,"medium-dark",NA,"red","black","black"
"Hi-Five","Tony Thompson","9/2/1975","black","no","short","high-top","brown",NA,"earring(s)","windbreaker, t-shirt","Sweat pants",NA,"medium-dark",NA,"white","black","black"
"Hi-Five","Treston Irby",NA,"black","no","short","high-top","brown",NA,"necklace","long-sleeve turtleneck, windbreaker","Sweat pants",NA,"dark",NA,"red","navy","black"
"Hi-Five","Marcus Sanders",NA,"black","no","short","high-top","brown","mustache","earring(s)","windbreaker, t-shirt","Sweat pants",NA,"medium-dark",NA,"white","purple","black"
"Hi-Five","Russell Neal",NA,"black","no","short","high-top","brown","mustache",NA,"windbreaker, t-shirt","Sweat pants",NA,"medium-dark",NA,"white","black","black"
"Nine Days","John Hampson","11/21/1971","brown","no","short","shaggy","blue","mustache, goatee",NA,"polo shirt","jeans",NA,"light","guitar","red",NA,"navy blue"
"Nine Days","Nick Dimichino",NA,"brown","no","medium","curly","brown",NA,NA,"short-sleeve button down","jeans",NA,"light","bass guitar","orange",NA,"navy blue"
"Nine Days","Vincent Tattanelli",NA,"brown","no","short","spiked","brown",NA,NA,"short-sleeve button down","jeans",NA,"light","drums","green",NA,"navy blue"
"Nine Days","Brian Desveaux",NA,"brown","no","short","crew","blue","goatee",NA,"polo shirt","jeans",NA,"light","guitar","blue",NA,"navy blue"
"Nine Days","Jeremy Dean",NA,"brown","no","short","crew","blue","mustache, goatee","beanie hat","short-sleeve t-shirt, long-sleeve t-shirt","jeans",NA,"light","keyboard","black","red","navy blue"
"Reel Tight","Reggie Long",NA,"black","no","short","fade","brown","mustache",NA,"other jacket, short-sleeve t-shirt","Jeans",NA,"medium-dark",NA,"black jacket white shirt",NA,"black"
"Troop","Steve Russell","11/23/1969","blonde","no","short","high-top","brown","goatee","earring(s)","long-sleeve button down","Dress pants",NA,"dark",NA,"white",NA,"black"
"Troop","John Harreld",NA,"black","no","medium","high-top","brown",NA,"earring(s)","long-sleeve button down","Dress pants",NA,"dark",NA,"white",NA,"black"
"The Boys","Khiry Abdulsamad","11/10/1973","black","no","short","high-top","brown",NA,"baseball hat","long-sleeve t-shirt","Jeans",NA,"dark",NA,"blue",NA,"black"
"The Boys","Tajh Abdulsamad","12/8/1976","black","no","short","high-top","brown",NA,NA,"polo shirt","Jeans",NA,"dark",NA,"red",NA,"black"
"The Boys","Hakeem Abdulsamad","3/26/1975","black","no","medium","high-top","brown",NA,NA,"short-sleeve t-shirt","Jeans",NA,"dark",NA,"white",NA,"black"
"Troop","Reggie Warren",NA,"black","yes","long","ponytail","brown","mustache",NA,"long-sleeve button down","Dress pants",NA,"medium-dark",NA,"white",NA,"black"
"The Boys","Bilal Abdulsamad","4/17/1979","black","no","short","fade","brown",NA,"baseball hat","short-sleeve t-shirt","Jeans",NA,"dark",NA,"patterned",NA,"black"
"Troop","Rodney Benford",NA,"black","no","medium","high-top","brown","mustache",NA,"long-sleeve button down","Dress pants",NA,"medium-dark",NA,"white",NA,"black"
"Troop","Allen McNeil",NA,"black","yes","medium","high-top","brown","goatee","glasses","long-sleeve button down","Dress pants",NA,"dark",NA,"white",NA,"black"
"Musical Youth","Michael Grant","1/7/1969","black","no","medium","fade","brown",NA,NA,"tank top","Jeans",NA,"dark","keyboard","yellow",NA,"black"
"Musical Youth","Kelvin Grant","7/9/1971","black","no","short","fade","brown",NA,"beret","other jacket, short-sleeve t-shirt","Jeans",NA,"dark","guitar","blue",NA,"black"
"Musical Youth","Dennis Seaton","3/2/1967","black","no","short","fade","brown",NA,"sunglasses","tank top","Jeans",NA,"dark","tambourine","green",NA,"black"
"Musical Youth","Frederick ""Junior"" Waite","5/23/1967","black","no","medium","fade","brown",NA,NA,"other jacket, short-sleeve t-shirt","Jeans",NA,"dark","drums","green",NA,"black"
"Musical Youth","Patrick Waite","5/16/1968","black","no","medium","fade","brown",NA,NA,"tank top","Jeans",NA,"dark","bass guitar","red",NA,"black"
"Son by Four","Angel Lopez",NA,"black","no","short","crew","brown","beard, mustache, soul patch","sunglasses","other jacket, short-sleeve t-shirt","dress pants",NA,"medium",NA,"white","white","white"
"Son by Four","Pedro Quiles",NA,"black","no","short","slick","brown","beard, mustache, soul patch",NA,"short-sleeve t-shirt","dress pants",NA,"medium",NA,"white","white","tan"
"Son by Four","Javier Montes",NA,"black","no","short","slick","brown","five o'clock shadow",NA,"vest","Dress pants",NA,"medium",NA,"tan",NA,"black"
"Son by Four","George Montes",NA,"black","yes","medium","spiked","brown","goatee",NA,"other jacket, short-sleeve t-shirt","dress pants",NA,"medium",NA,"white","tan","tan"
"Hi-Five","Toriano Easley",NA,"black","no","short","fade","brown",NA,NA,"zipped sweatshirt (over a t-shirt or tank top)","Sweat pants",NA,"medium-dark",NA,"blue",NA,"black"
"The Wanted","Max George","9/6/1988","brown","no","short","His head is shaved","Gray","five o'clock shadow",NA,"short-sleeve t-shirt","I can barely see them in the scene -- but I think they're jeans",NA,"light",NA,"white",NA,"black"
"The Wanted","Siva Michael Kaneswaran","11/16/1988","black","no","medium","spiked","brown",NA,NA,"long-sleeve button down","Khakis",NA,"medium",NA,"patterned",NA,"black"
"The Wanted","Jay McGuiness","7/24/1990","brown","no","medium","curly","blue",NA,NA,"short-sleeve button down","Jeans",NA,"light",NA,"patterned",NA,"black"
"The Wanted","Tom Parker","8/4/1988","black","no","short","spiked","brown",NA,NA,"polo shirt","Khaki",70,"medium-light",NA,"(black with white accents)",NA,"black"
"The Wanted","Nathan Sykes","4/18/1993","brown","no","short","swept","blue",NA,"necklace, in one scene in the video","short-sleeve button down","They look like white pants? Not sure if they're dress pants or not",69,"light",NA,"Navy with red plaid accents",NA,"black"
"Troop","Allen McNeil",NA,"black","no","medium","high-top","brown","goatee, very faint goatee","earring(s)","long-sleeve button down","Dress pants",NA,"medium-dark",NA,"black",NA,"black"
"Troop","Rodney Benford",NA,"black","no","medium","It's either a ponytail or a mullet, but I think the former","brown","mustache, There's a shadow of a mustache",NA,"long-sleeve button down","Dress pants",NA,"medium-dark",NA,"black",NA,"black"
"Troop","Reggie Warren",NA,"black","Blonde streak","medium","high-top","brown",NA,"glasses, earring(s), During certain scenes","long-sleeve button down","Dress pants",NA,"medium-dark",NA,"black",NA,"black"
"Troop","Steve Russel","11/21/1969","black","no","short","high-top","brown",NA,NA,"long-sleeve button down","Dress pants",NA,"dark",NA,"black",NA,"black"
"Troop","John Harreld",NA,"black","no","medium","Medium high top with a small ponytail from the looks of things","brown",NA,NA,"long-sleeve button down","Dress pants",NA,"dark",NA,"black",NA,"black"
